,frame,id,time
0,0,113602.jpg,1689061090.018627
1,1,,1689061090.0388217
2,2,,1689061090.0586734
3,3,,1689061090.078679
4,4,,1689061090.0993571
5,5,1480926.jpg,1689061090.1193445
6,6,,1689061090.1393461
7,7,,1689061090.159146
8,8,,1689061090.1794827
9,9,,1689061090.1994846
10,10,1517039671.8039265.png,1689061090.2195163
11,11,,1689061090.2395291
12,12,,1689061090.2595315
13,13,,1689061090.2795296
14,14,,1689061090.2995374
15,15,1920-1200-351843.jpg,1689061090.3195367
16,16,,1689061090.3396108
17,17,,1689061090.3596237
18,18,,1689061090.3796108
19,19,,1689061090.3996181
20,20,1920-1200-360818.jpg,1689061090.4195318
21,21,,1689061090.4395318
22,22,,1689061090.4593334
23,23,,1689061090.4793365
24,24,,1689061090.4993403
25,25,1920-1200-379572.png,1689061090.519408
26,26,,1689061090.5394084
27,27,,1689061090.5594018
28,28,,1689061090.579599
29,29,,1689061090.5995972
30,30,1920-1200-555187.jpg,1689061090.619597
31,31,,1689061090.6395977
32,32,,1689061090.6595917
33,33,,1689061090.679598
34,34,,1689061090.699604
35,35,1920-1200-606700.jpg,1689061090.7195914
36,36,,1689061090.739598
37,37,,1689061090.7596025
38,38,,1689061090.7795913
39,39,,1689061090.7995982
40,40,238803.jpg,1689061090.819725
41,41,,1689061090.8387432
42,42,,1689061090.858738
43,43,,1689061090.8787374
44,44,,1689061090.8987358
45,45,310208.jpg,1689061090.9187434
46,46,,1689061090.938738
47,47,,1689061090.9587379
48,48,,1689061090.978736
49,49,,1689061090.9987433
50,50,342360.jpg,1689061091.018737
51,51,,1689061091.0387437
52,52,,1689061091.0587382
53,53,,1689061091.0787432
54,54,,1689061091.0987492
55,55,345397.jpg,1689061091.1191983
56,56,,1689061091.1391976
57,57,,1689061091.1591916
58,58,,1689061091.1792011
59,59,,1689061091.1992028
60,60,359089.jpg,1689061091.219357
61,61,,1689061091.2393684
62,62,,1689061091.259369
63,63,,1689061091.2793758
64,64,,1689061091.2993746
65,65,376324.jpg,1689061091.3194275
66,66,,1689061091.339374
67,67,,1689061091.3593738
68,68,,1689061091.3793733
69,69,,1689061091.399377
70,70,379425.jpg,1689061091.419374
71,71,,1689061091.4393733
72,72,,1689061091.4593673
73,73,,1689061091.4793746
74,74,,1689061091.499374
75,75,382009.jpg,1689061091.519469
76,76,,1689061091.5394688
77,77,,1689061091.5591102
78,78,,1689061091.5787106
79,79,,1689061091.5987103
80,80,445190.jpg,1689061091.6187067
81,81,,1689061091.6387055
82,82,,1689061091.6587105
83,83,,1689061091.6793933
84,84,,1689061091.6993957
85,85,456839.jpg,1689061091.719393
86,86,,1689061091.738767
87,87,,1689061091.7587686
88,88,,1689061091.7787607
89,89,,1689061091.7987669
90,90,488612.jpg,1689061091.8188567
91,91,,1689061091.8388567
92,92,,1689061091.8588507
93,93,,1689061091.8788574
94,94,,1689061091.898881
95,95,112234.jpg,1689061091.919605
96,96,,1689061091.9396057
97,97,,1689061091.9596062
98,98,,1689061091.9796054
99,99,,1689061091.999605
100,100,113602.jpg,1689061092.0190659
101,101,,1689061092.0390842
102,102,,1689061092.0590777
103,103,,1689061092.0793796
104,104,,1689061092.09939
105,105,1480926.jpg,1689061092.119382
106,106,,1689061092.1393895
107,107,,1689061092.1593852
108,108,,1689061092.179391
109,109,,1689061092.199052
110,110,1517039671.8039265.png,1689061092.2191916
111,111,,1689061092.239273
112,112,,1689061092.2592733
113,113,,1689061092.2792735
114,114,,1689061092.2992418
115,115,1920-1200-351843.jpg,1689061092.3188822
116,116,,1689061092.339252
117,117,,1689061092.3592665
118,118,,1689061092.3793607
119,119,,1689061092.399403
120,120,1920-1200-360818.jpg,1689061092.4194338
121,121,,1689061092.439204
122,122,,1689061092.4591978
